partNumber	despQuant	despatchDate
3MCY50318JU610	20	03-04-2018
3MCY50318JU610	21	04-04-2018
3MCY50318JU610	10	09-04-2018
3MCY50318JU610	21	10-04-2018
3MCY50318JU610	25	12-04-2018
3MCY50318JU610	96	19-04-2018
3MCY50318JU610	22	20-04-2018
3MCY50318JU610	10	21-04-2018
3MCY50318JU610	20	23-04-2018
3MCY50318JU610	113	24-04-2018
3MCY50318JU610	30	25-04-2018
3MCY50318JU610	25	26-04-2018
3MCY50318JU610	70	27-04-2018
3MCY50318JU610	190	28-04-2018
3MCY50318JU610	65	29-04-2018
3MCY50318JU610	75	30-04-2018
3MCY50318JU610	2	04-05-2018
3MCY50318JU610	4	05-05-2018
3MCY50318JU610	10	08-05-2018
3MCY50318JU610	10	09-05-2018
3MCY50318JU610	20	10-05-2018
3MCY50318JU610	5	12-05-2018
3MCY50318JU610	30	14-05-2018
3MCY50318JU610	16	15-05-2018
3MCY50318JU610	205	21-05-2018
3MCY50318JU610	35	22-05-2018
3MCY50318JU610	30	23-05-2018
3MCY50318JU610	40	24-05-2018
3MCY50318JU610	165	25-05-2018
3MCY50318JU610	105	28-05-2018
3MCY50318JU610	115	29-05-2018
3MCY50318JU610	168	30-05-2018
3MCY50318JU610	20	04-06-2018
3MCY50318JU610	2	05-06-2018
3MCY50318JU610	5	07-06-2018
3MCY50318JU610	90	08-06-2018
3MCY50318JU610	25	09-06-2018
3MCY50318JU610	51	11-06-2018
3MCY50318JU610	41	12-06-2018
3MCY50318JU610	25	13-06-2018
3MCY50318JU610	95	14-06-2018
3MCY50318JU610	115	15-06-2018
3MCY50318JU610	15	16-06-2018
3MCY50318JU610	63	18-06-2018
3MCY50318JU610	54	19-06-2018
3MCY50318JU610	49	20-06-2018
3MCY50318JU610	189	21-06-2018
3MCY50318JU610	35	22-06-2018
3MCY50318JU610	26	23-06-2018
3MCY50318JU610	30	25-06-2018
3MCY50318JU610	30	26-06-2018
3MCY50318JU610	25	27-06-2018
3MCY50318JU610	91	28-06-2018
3MCY50318JU610	110	29-06-2018
3MCY50318JU610	219	30-06-2018
3MCY50318JU610	5	06-07-2018
3MCY50318JU610	10	09-07-2018
3MCY50318JU610	6	11-07-2018
3MCY50318JU610	142	14-07-2018
3MCY50318JU610	52	16-07-2018
3MCY50318JU610	45	17-07-2018
3MCY50318JU610	65	18-07-2018
3MCY50318JU610	75	19-07-2018
3MCY50318JU610	28	20-07-2018
3MCY50318JU610	70	21-07-2018
3MCY50318JU610	60	23-07-2018
3MCY50318JU610	10	24-07-2018
3MCY50318JU610	170	25-07-2018
3MCY50318JU610	25	26-07-2018
3MCY50318JU610	84	27-07-2018
3MCY50318JU610	80	28-07-2018
3MCY50318JU610	210	30-07-2018
3MCY50318JU610	19	03-08-2018
3MCY50318JU610	5	06-08-2018
3MCY50318JU610	40	07-08-2018
3MCY50318JU610	19	08-08-2018
3MCY50318JU610	15	09-08-2018
3MCY50318JU610	95	10-08-2018
3MCY50318JU610	40	11-08-2018
3MCY50318JU610	41	13-08-2018
3MCY50318JU610	43	14-08-2018
3MCY50318JU610	55	16-08-2018
3MCY50318JU610	30	17-08-2018
3MCY50318JU610	6	18-08-2018
3MCY50318JU610	50	20-08-2018
3MCY50318JU610	65	21-08-2018
3MCY50318JU610	15	22-08-2018
3MCY50318JU610	99	23-08-2018
3MCY50318JU610	60	24-08-2018
3MCY50318JU610	10	27-08-2018
3MCY50318JU610	10	28-08-2018
3MCY50318JU610	43	29-08-2018
3MCY50318JU610	180	30-08-2018
3MCY50318JU610	5	03-09-2018
3MCY50318JU610	11	05-09-2018
3MCY50318JU610	3	06-09-2018
3MCY50318JU610	25	10-09-2018
3MCY50318JU610	2	12-09-2018
3MCY50318JU610	20	14-09-2018
3MCY50318JU610	15	15-09-2018
3MCY50318JU610	8	17-09-2018
3MCY50318JU610	39	18-09-2018
3MCY50318JU610	20	19-09-2018
3MCY50318JU610	86	20-09-2018
3MCY50318JU610	202	21-09-2018
3MCY50318JU610	135	24-09-2018
3MCY50318JU610	108	25-09-2018
3MCY50318JU610	166	26-09-2018
3MCY50318JU610	65	27-09-2018
3MCY50318JU610	115	28-09-2018
3MCY50318JU610	93	30-09-2018
3MCY50318JU610	2	03-10-2018
3MCY50318JU610	15	04-10-2018
3MCY50318JU610	75	06-10-2018
3MCY50318JU610	90	08-10-2018
3MCY50318JU610	95	09-10-2018
3MCY50318JU610	40	10-10-2018
3MCY50318JU610	11	12-10-2018
3MCY50318JU610	5	13-10-2018
3MCY50318JU610	50	15-10-2018
3MCY50318JU610	26	16-10-2018
3MCY50318JU610	25	17-10-2018
3MCY50318JU610	48	19-10-2018
3MCY50318JU610	48	20-10-2018
3MCY50318JU610	50	22-10-2018
3MCY50318JU610	20	23-10-2018
3MCY50318JU610	61	24-10-2018
